"","Local Authorities","1","2","3","4","5","6","7","8"
"84","Cotswold",0.542087542087542,0.00336700336700337,0,0,0.168350168350168,0.0976430976430976,0.037037037037037,0.151515151515152
"85","County Durham",0.117612977983778,0.0121668597914253,0,0.00115874855156431,0.0863267670915411,0.197566628041715,0.0370799536500579,0.548088064889919
"86","Coventry",0.000986193293885602,0.0453648915187377,0.0364891518737673,0.416173570019724,0.243589743589744,0.117357001972387,0.0680473372781065,0.0719921104536489
"87","Craven",0.45360824742268,0,0,0.0154639175257732,0.206185567010309,0.0979381443298969,0.0463917525773196,0.180412371134021
"88","Crawley",0.0029940119760479,0.0209580838323353,0.0179640718562874,0.547904191616767,0.161676646706587,0.0898203592814371,0.0658682634730539,0.092814371257485
"89","Croydon",0,0.0220848056537102,0.254416961130742,0.496466431095406,0.0777385159010601,0.118374558303887,0.0106007067137809,0.0203180212014134
"90","Dacorum",0.0391304347826087,0.0152173913043478,0.00434782608695652,0.115217391304348,0.332608695652174,0.173913043478261,0.121739130434783,0.197826086956522
"91","Darlington",0.0638888888888889,0.00833333333333333,0,0.0138888888888889,0.219444444444444,0.305555555555556,0.138888888888889,0.25
"92","Dartford",0.00958466453674121,0.0415335463258786,0.0159744408945687,0.21405750798722,0.271565495207668,0.185303514376997,0.111821086261981,0.150159744408946
"93","Daventry",0.383064516129032,0,0,0.0120967741935484,0.133064516129032,0.241935483870968,0.0403225806451613,0.189516129032258
"94","Denbighshire",0.290123456790123,0,0,0,0.114197530864198,0.314814814814815,0.0895061728395062,0.191358024691358
"95","Derby",0.00256739409499358,0.0410783055198973,0.0192554557124519,0.258023106546855,0.10397946084724,0.31193838254172,0.0526315789473684,0.210526315789474
"96","Derbyshire Dales",0.570281124497992,0,0,0,0.1285140562249,0.112449799196787,0.0401606425702811,0.14859437751004
"97","Derry and Strabane",0.23780487804878,0.00304878048780488,0,0.00304878048780488,0.0518292682926829,0.140243902439024,0.121951219512195,0.442073170731707
"98","Doncaster",0.0593047034764826,0.00102249488752556,0.00511247443762781,0.0674846625766871,0.0920245398773006,0.302658486707566,0.0623721881390593,0.41002044989775
"99","Dover",0.173184357541899,0,0.00558659217877095,0.0195530726256983,0.229050279329609,0.181564245810056,0.125698324022346,0.26536312849162
"100","Dudley",0.00198412698412698,0.000992063492063492,0.00297619047619048,0.0833333333333333,0.143849206349206,0.369047619047619,0.0882936507936508,0.30952380952381
"101","Dumfries and Galloway",0.436651583710407,0.00301659125188537,0,0,0.0346907993966818,0.110859728506787,0.153846153846154,0.260935143288084
"102","Dundee City",0.00520833333333333,0.173363095238095,0.00446428571428571,0.00446428571428571,0.09375,0.177083333333333,0.383184523809524,0.158482142857143
"103","Ealing",0,0.0836820083682008,0.285564853556485,0.605648535564854,0.0251046025104603,0,0,0
"104","East Ayrshire",0.104395604395604,0.00366300366300366,0,0,0.0604395604395604,0.183150183150183,0.284798534798535,0.363553113553114
"105","East Cambridgeshire",0.437735849056604,0.00377358490566038,0,0.00377358490566038,0.286792452830189,0.0905660377358491,0.0226415094339623,0.154716981132075
"106","East Devon",0.427616926503341,0.0111358574610245,0,0,0.204899777282851,0.175946547884187,0.0378619153674833,0.142538975501114
"107","East Dorset",0.233898305084746,0,0,0,0.132203389830508,0.522033898305085,0.0372881355932203,0.0745762711864407
"108","East Dunbartonshire",0.0197215777262181,0,0,0,0.127610208816705,0.548723897911833,0.163573085846868,0.140371229698376
"109","East Hampshire",0.210810810810811,0.00540540540540541,0,0.00810810810810811,0.313513513513514,0.310810810810811,0.0432432432432432,0.108108108108108
"110","East Hertfordshire",0.121004566210046,0.0342465753424658,0.00228310502283105,0.00684931506849315,0.401826484018265,0.237442922374429,0.0502283105022831,0.146118721461187
"111","East Lindsey",0.626283367556468,0.00205338809034908,0,0,0.0882956878850103,0.0759753593429158,0.0554414784394251,0.151950718685832
"112","East Lothian",0.134844868735084,0.0214797136038186,0,0.00119331742243437,0.137231503579952,0.18854415274463,0.243436754176611,0.27326968973747
"113","East Northamptonshire",0.262962962962963,0,0,0,0.159259259259259,0.3,0.0296296296296296,0.248148148148148
"114","East Renfrewshire",0.021978021978022,0.00137362637362637,0,0.00137362637362637,0.178571428571429,0.516483516483517,0.184065934065934,0.0961538461538462
"115","East Riding of Yorkshire",0.348294434470377,0.000897666068222621,0,0.000897666068222621,0.135547576301616,0.286355475763016,0.0700179533213645,0.157989228007181
"116","East Staffordshire",0.185595567867036,0.0110803324099723,0,0.155124653739612,0.110803324099723,0.254847645429363,0.0969529085872576,0.185595567867036
"117","Eastbourne",0.00282485875706215,0.161016949152542,0.00282485875706215,0.00564971751412429,0.347457627118644,0.175141242937853,0.144067796610169,0.161016949152542
"118","Eastleigh",0.0223325062034739,0.0124069478908189,0,0.0198511166253102,0.411910669975186,0.332506203473945,0.0521091811414392,0.148883374689826
"119","Eden",0.706214689265537,0,0,0,0.0847457627118644,0.0225988700564972,0.0621468926553672,0.124293785310734
"120","Elmbridge",0.00492610837438424,0.0295566502463054,0.00246305418719212,0.0394088669950739,0.630541871921182,0.199507389162562,0.0467980295566502,0.0467980295566502
"121","Enfield",0,0.0209944751381215,0.275138121546961,0.579005524861879,0.0906077348066298,0.0331491712707182,0,0.00110497237569061
"122","Epping Forest",0.0835322195704057,0.0214797136038186,0.00715990453460621,0.0644391408114559,0.315035799522673,0.210023866348449,0.109785202863962,0.18854415274463
"123","Epsom and Ewell",0,0.0480349344978166,0.00873362445414847,0.174672489082969,0.414847161572052,0.331877729257642,0.00436681222707424,0.0174672489082969
"124","Erewash",0.0477453580901857,0,0,0,0.153846153846154,0.392572944297082,0.0689655172413793,0.336870026525199
"125","Exeter",0.00775193798449612,0.183462532299742,0.00258397932816537,0.00775193798449612,0.348837209302326,0.142118863049096,0.165374677002584,0.142118863049096
"126","Falkirk",0.0437037037037037,0.0103703703703704,0.000740740740740741,0.000740740740740741,0.0925925925925926,0.245185185185185,0.301481481481481,0.305185185185185
"127","Fareham",0.0280112044817927,0,0,0,0.302521008403361,0.495798319327731,0.0700280112044818,0.103641456582633
"128","Fenland",0.413793103448276,0,0.00344827586206897,0.0172413793103448,0.158620689655172,0.151724137931034,0.0620689655172414,0.193103448275862
"129","Fermanagh and Omagh",0.661596958174905,0,0,0.00380228136882129,0.0722433460076046,0.0456273764258555,0.0342205323193916,0.182509505703422
"130","Fife",0.0913098236775819,0.026448362720403,0,0.000629722921914358,0.131926952141058,0.209382871536524,0.250314861460957,0.289987405541562
"131","Flintshire",0.193158953722334,0.00201207243460765,0,0.00201207243460765,0.0563380281690141,0.380281690140845,0.0543259557344064,0.311871227364185
"132","Forest Heath",0.269430051813472,0,0.0103626943005181,0.0518134715025907,0.336787564766839,0.077720207253886,0.0569948186528497,0.196891191709845
"133","Forest of Dean",0.452830188679245,0,0,0.00377358490566038,0.0867924528301887,0.177358490566038,0.00754716981132075,0.271698113207547
"134","Fylde",0.128787878787879,0.0113636363636364,0,0.00378787878787879,0.340909090909091,0.333333333333333,0.0795454545454545,0.102272727272727
"135","Gateshead",0.00708215297450425,0.0396600566572238,0.018413597733711,0.0269121813031161,0.130311614730878,0.205382436260623,0.185552407932011,0.386685552407932
"136","Gedling",0.038860103626943,0,0,0.0155440414507772,0.272020725388601,0.419689119170984,0.0647668393782383,0.189119170984456
"137","Glasgow City",0.0001822821728035,0.252643091505651,0.0727305869485964,0.0151294203426905,0.0871308786000729,0.0514035727305869,0.463361283266497,0.0574188844331024
"138","Gloucester",0.005,0.0425,0.0075,0.1375,0.29,0.3075,0.0775,0.1325
"139","Gosport",0,0.0257352941176471,0,0.00735294117647059,0.301470588235294,0.161764705882353,0.176470588235294,0.327205882352941
"140","Gravesham",0.0126582278481013,0.0126582278481013,0.0379746835443038,0.278481012658228,0.161392405063291,0.246835443037975,0.0727848101265823,0.177215189873418
"141","Great Yarmouth",0.173652694610778,0,0.00598802395209581,0.0329341317365269,0.104790419161677,0.227544910179641,0.194610778443114,0.260479041916168
"142","Greenwich",0,0.0902348578491965,0.394313967861557,0.38566131025958,0.065512978986403,0.0271940667490729,0.0234857849196539,0.0135970333745365
"143","Guildford",0.0482758620689655,0.0988505747126437,0.00229885057471264,0.0505747126436782,0.397701149425287,0.28735632183908,0.0482758620689655,0.0666666666666667
"144","Gwynedd",0.435643564356436,0.0371287128712871,0,0.0123762376237624,0.0915841584158416,0.0544554455445545,0.0643564356435644,0.304455445544554
"145","Hackney",0,0.109479305740988,0.861148197596796,0.0280373831775701,0,0,0.00133511348464619,0
"146","Halton",0.00490196078431373,0,0,0,0.0612745098039216,0.311274509803922,0.127450980392157,0.495098039215686
"147","Hambleton",0.620578778135048,0,0,0.00321543408360129,0.122186495176849,0.0964630225080386,0.0192926045016077,0.138263665594855
"148","Hammersmith and Fulham",0,0.384,0.5712,0.0256,0.0176,0,0.0016,0
"149","Harborough",0.333333333333333,0,0,0.00732600732600733,0.186813186813187,0.358974358974359,0.0256410256410256,0.0879120879120879
"150","Haringey",0,0.162018592297477,0.670650730411687,0.126162018592297,0.0371845949535193,0.00398406374501992,0,0
"151","Harlow",0,0.00364963503649635,0.0182481751824818,0.160583941605839,0.171532846715328,0.0583941605839416,0.277372262773723,0.31021897810219
"152","Harrogate",0.317669172932331,0.0357142857142857,0,0.0056390977443609,0.280075187969925,0.223684210526316,0.0582706766917293,0.0789473684210526
"153","Harrow",0,0.0218068535825545,0.0950155763239875,0.749221183800623,0.0420560747663551,0.0919003115264797,0,0
"154","Hart",0.0851063829787234,0.00354609929078014,0,0.00354609929078014,0.425531914893617,0.397163120567376,0.0106382978723404,0.074468085106383
"155","Hartlepool",0.0223642172523962,0.00319488817891374,0,0.0159744408945687,0.0670926517571885,0.26517571884984,0.156549520766773,0.469648562300319
"156","Hastings",0.00647249190938511,0.12621359223301,0.029126213592233,0.0161812297734628,0.339805825242718,0.155339805825243,0.174757281553398,0.15210355987055
"157","Havant",0.0258397932816537,0,0,0,0.183462532299742,0.364341085271318,0.149870801033592,0.276485788113695
"158","Havering",0.00397877984084881,0.0159151193633952,0.0225464190981432,0.156498673740053,0.323607427055703,0.224137931034483,0.124668435013263,0.128647214854111
"159","Herefordshire, County of",0.546875,0.0015625,0,0.003125,0.1234375,0.0734375,0.0890625,0.1625
"160","Hertsmere",0.0129449838187702,0.0194174757281553,0.0388349514563107,0.294498381877023,0.330097087378641,0.184466019417476,0.0647249190938511,0.0550161812297735
"161","High Peak",0.140522875816993,0.0065359477124183,0,0,0.277777777777778,0.254901960784314,0.0751633986928105,0.245098039215686
"162","Highland",0.396809571286142,0.010468594217348,0,0.00149551345962114,0.0797607178464606,0.146560319042871,0.124127617148554,0.240777666999003
"163","Hillingdon",0.00126742712294043,0.0164765525982256,0.0506970849176172,0.680608365019011,0.126742712294043,0.101394169835234,0.0164765525982256,0.00633713561470215
"164","Hinckley and Bosworth",0.162393162393162,0,0,0.00284900284900285,0.170940170940171,0.413105413105413,0.0284900284900285,0.222222222222222
"165","Horsham",0.202409638554217,0.0120481927710843,0.00240963855421687,0.00963855421686747,0.330120481927711,0.27710843373494,0.0746987951807229,0.091566265060241
"166","Hounslow",0,0.092436974789916,0.189075630252101,0.677871148459384,0.0378151260504202,0.00140056022408964,0,0.00140056022408964
"167","Huntingdonshire",0.21415270018622,0.0037243947858473,0.00186219739292365,0.0521415270018622,0.284916201117318,0.271880819366853,0.037243947858473,0.134078212290503
"168","Hyndburn",0.0297397769516729,0,0,0.107806691449814,0.104089219330855,0.275092936802974,0.12639405204461,0.356877323420074
"169","Inverclyde",0.0122448979591837,0.0204081632653061,0,0,0.152380952380952,0.146938775510204,0.444897959183673,0.22312925170068
"170","Ipswich",0.00229885057471264,0.0413793103448276,0.0528735632183908,0.144827586206897,0.264367816091954,0.188505747126437,0.119540229885057,0.186206896551724
"171","Isle of Anglesey",0.48471615720524,0,0,0,0.0698689956331878,0.109170305676856,0.0524017467248908,0.283842794759825
"172","Isle of Wight",0.240343347639485,0,0,0,0.313304721030043,0.169527896995708,0.0858369098712446,0.190987124463519
"173","Isles of Scilly",0.555555555555556,0,0,0,0.222222222222222,0,0.222222222222222,0
"174","Islington",0,0.232424677187948,0.764705882352941,0.00143472022955524,0.00143472022955524,0,0,0
"175","Kensington and Chelsea",0,0.586370839936609,0.38351822503962,0.00316957210776545,0.0269413629160063,0,0,0
"176","Kettering",0.101694915254237,0,0.00338983050847458,0.0677966101694915,0.213559322033898,0.352542372881356,0.0779661016949153,0.183050847457627
"177","King's Lynn and West Norfolk",0.528688524590164,0.00409836065573771,0,0.0204918032786885,0.102459016393443,0.145491803278689,0.0901639344262295,0.108606557377049
"178","Kingston upon Hull, City of",0.00117233294255569,0.0398593200468933,0.0246189917936694,0.0832356389214537,0.112543962485346,0.0855803048065651,0.141852286049238,0.511137162954279
"179","Kingston upon Thames",0,0.228,0.07,0.37,0.232,0.088,0.008,0.004
"180","Kirklees",0.0472921434019832,0.0061022120518688,0.0083905415713196,0.246376811594203,0.208237986270023,0.247139588100687,0.0587337909992372,0.177726926010679
"181","Knowsley",0.0121457489878543,0,0,0,0.048582995951417,0.259109311740891,0.11336032388664,0.566801619433198
"182","Lambeth",0,0.148033126293996,0.75879917184265,0.0838509316770186,0.0093167701863354,0,0,0
"183","Lancaster",0.136363636363636,0.0757575757575758,0,0.00865800865800866,0.246753246753247,0.261904761904762,0.101731601731602,0.168831168831169
"184","Leeds",0.0173023987416437,0.0833661030279198,0.0369642154935116,0.165552497050727,0.208808493904837,0.21274085725521,0.109319701140385,0.165945733385765
"185","Leicester",0,0.0856553147574819,0.0588235294117647,0.591331269349845,0.0670794633642931,0.0557275541795666,0.0371517027863777,0.104231166150671
"186","Lewes",0.111801242236025,0.0093167701863354,0,0.0031055900621118,0.319875776397516,0.304347826086957,0.102484472049689,0.149068322981366
"187","Lewisham",0,0.0405862457722661,0.687711386696731,0.25140924464487,0.0169109357384442,0,0.00338218714768884,0
"188","Lichfield",0.166153846153846,0,0,0,0.166153846153846,0.378461538461538,0.0646153846153846,0.224615384615385
"189","Lincoln",0.0129449838187702,0.0711974110032362,0.00647249190938511,0.0485436893203883,0.236245954692557,0.233009708737864,0.187702265372168,0.203883495145631
"190","Lisburn and Castlereagh",0.16231884057971,0,0,0,0.127536231884058,0.388405797101449,0.0898550724637681,0.231884057971014
"191","Liverpool",0,0.10479797979798,0.0675505050505051,0.0713383838383838,0.128787878787879,0.126262626262626,0.183712121212121,0.317550505050505
"192","Luton",0,0.0118845500848896,0.0865874363327674,0.67911714770798,0.0882852292020374,0.110356536502547,0.0101867572156197,0.0135823429541596
"193","Maidstone",0.155102040816327,0.0346938775510204,0.00408163265306122,0.0448979591836735,0.259183673469388,0.289795918367347,0.0795918367346939,0.13265306122449
"194","Maldon",0.247524752475248,0,0,0,0.138613861386139,0.391089108910891,0.0396039603960396,0.183168316831683
"195","Malvern Hills",0.48015873015873,0.00396825396825397,0,0,0.182539682539683,0.146825396825397,0.0476190476190476,0.138888888888889
"196","Manchester",0,0.181045751633987,0.115686274509804,0.447712418300654,0.0627450980392157,0.0241830065359477,0.0986928104575163,0.0699346405228758
"197","Mansfield",0.028735632183908,0,0,0.014367816091954,0.114942528735632,0.359195402298851,0.132183908045977,0.350574712643678
"198","Medway",0.013317191283293,0.0121065375302663,0.0181598062953995,0.171912832929782,0.254237288135593,0.221549636803874,0.0641646489104116,0.24455205811138
"199","Melton",0.36144578313253,0,0,0,0.102409638554217,0.283132530120482,0.0421686746987952,0.210843373493976
"200","Mendip",0.395027624309392,0.00276243093922652,0,0,0.187845303867403,0.140883977900552,0.074585635359116,0.198895027624309
"201","Merthyr Tydfil",0.0264550264550265,0,0,0.0105820105820106,0.0846560846560847,0.137566137566138,0.0687830687830688,0.671957671957672
"202","Merton",0,0.205287713841369,0.160186625194401,0.497667185069984,0.127527216174184,0.00777604976671851,0,0.0015552099533437
"203","Mid and East Antrim",0.257452574525745,0,0,0,0.102981029810298,0.241192411924119,0.0867208672086721,0.311653116531165
"204","Mid Devon",0.543307086614173,0,0,0.00393700787401575,0.118110236220472,0.078740157480315,0.0590551181102362,0.196850393700787
"205","Mid Suffolk",0.577557755775578,0,0,0.0033003300330033,0.132013201320132,0.141914191419142,0.0132013201320132,0.132013201320132
"206","Mid Sussex",0.0810185185185185,0.0277777777777778,0,0.00462962962962963,0.409722222222222,0.331018518518519,0.0416666666666667,0.104166666666667
"207","Mid Ulster",0.63265306122449,0,0,0.0374149659863946,0.0578231292517007,0.0408163265306122,0.0136054421768707,0.217687074829932
