Quantity,Value
Raw LAD rows,348.0
Analysis LAD rows,324.0
Countries,2.0
Regions,10.0
Spending categories,12.0
Raw expenditure profiles,35.0
Predictive features,139.0
"Median income, median",27917.0
"Spending intensity, median",0.95
